# Absorption coefficients
# USA model, mean latitude, summer, H=0
# Wavenumber range: 400-23500 cm-1, T: 296 K, P: 1 atm, step: 1 cm-1, Profile: Voigt, Wing: 50 HW, Scut: 1e-28 cm/mol
# KNa, Ka and thier units definition in Eqs(2)-(3) of  http://hitran.iao.ru/home.sim-theory.sp-functions.
# WN,cm-1           KNa,cm-1       Ka,cm**2/molecule (FORMAT F12.6,3X,E17.10,3X,E17.10)

  400.000000    2.9237630558E-03    1.1792353978E-22
  401.000000    6.6082082033E-04    2.6652751542E-23
  402.000000    6.8020647483E-05    2.7434629196E-24
  403.000000    1.5654881326E-05    6.3140513974E-25
  404.000000    7.1925633540E-06    2.9009619268E-25
  405.000000    2.1716200737E-05    8.7587510088E-25
  406.000000    2.1046570100E-05    8.4886702481E-25
  407.000000    2.7606534487E-06    1.1134487322E-25
  408.000000    1.3077329541E-06    5.2744526863E-26
  409.000000    2.0060869064E-06    8.0911094571E-26
  410.000000    1.5445153100E-06    6.2294621392E-26
  411.000000    2.9354111493E-07    1.1839333996E-26
  412.000000    1.7156496974E-06    6.9196949778E-26
  413.000000    1.1688204239E-06    4.7141796076E-26
  414.000000    4.7177204575E-06    1.9027885825E-25
  415.000000    5.0644651244E-04    2.0426404027E-23
  416.000000    1.8282633760E-04    7.3738974339E-24
  417.000000    7.5114200258E-04    3.0295657388E-23
  418.000000    6.2763278437E-03    2.5314185248E-22
  419.000000    1.6546915858E-02    6.6738338680E-22
  420.000000    3.6681557439E-02    1.4794697844E-21
  421.000000    7.9232014923E-04    3.1956487189E-23
  422.000000    4.5181400800E-04    1.8222922354E-23
  423.000000    3.4409399823E-02    1.3878273141E-21
  424.000000    2.1290394593E-04    8.5870114844E-24
  425.000000    9.4052506514E-04    3.7934005874E-23
  426.000000    3.3949880962E-04    1.3692936335E-23
  427.000000    7.9376143104E-05    3.2014618114E-24
  428.000000    1.4839939532E-05    5.9853625835E-25
  429.000000    8.1689662358E-05    3.2947725123E-24
  430.000000    5.8296388371E-05    2.3512563576E-24
  431.000000    1.7526876744E-03    7.0690794963E-23
  432.000000    8.2412435779E-05    3.3239239854E-24
  433.000000    2.3683983288E-05    9.5524127369E-25
  434.000000    4.4145388320E-05    1.7805069550E-24
  435.000000    5.2482558658E-04    2.1167683480E-23
  436.000000    3.8181018435E-04    1.5399472393E-23
  437.000000    1.9891160506E-04    8.0226612500E-24
  438.000000    1.9599788434E-05    7.9051427456E-25
  439.000000    2.2501440039E-05    9.0754599771E-25
  440.000000    4.1926255834E-05    1.6910031365E-24
  441.000000    1.8514482669E-04    7.4674085821E-24
  442.000000    8.5054437807E-03    3.4304833151E-22
  443.000000    3.7699954381E-04    1.5205445809E-23
  444.000000    1.0930327448E-03    4.4085067054E-23
  445.000000    9.6086636721E-05    3.8754427467E-24
  446.000000    1.8192029622E-04    7.3373542515E-24
  447.000000    5.2356672511E-03    2.1116910077E-22
  448.000000    4.6248437367E-05    1.8653288038E-24
  449.000000    4.6396318877E-06    1.8712932787E-25
  450.000000    2.8812758186E-05    1.1620991069E-24
  451.000000    4.6814857505E-05    1.8881741119E-24
  452.000000    2.2180194601E-04    8.9458927088E-24
  453.000000    5.6754501737E-03    2.2890677581E-22
  454.000000    1.4211785479E-04    5.7320104890E-24
  455.000000    2.1975256882E-04    8.8632355960E-24
  456.000000    2.8202159318E-04    1.1374719472E-23
  457.000000    3.5439333703E-03    1.4293674275E-22
  458.000000    3.1703715787E-02    1.2786995110E-21
  459.000000    4.9886128004E-04    2.0120470393E-23
  460.000000    1.4205722759E-04    5.7295652242E-24
  461.000000    1.8974221014E-04    7.6528339124E-24
  462.000000    8.0313666926E-05    3.2392747688E-24
  463.000000    4.4211395677E-06    1.7831692163E-25
  464.000000    4.4140033058E-06    1.7802909623E-25
  465.000000    1.9363590294E-06    7.8098774312E-26
  466.000000    5.2827367974E-05    2.1306754719E-24
  467.000000    1.1745261538E-04    4.7371924118E-24
  468.000000    3.3117423261E-03    1.3357182866E-22
  469.000000    2.5291179761E-04    1.0200640017E-23
  470.000000    9.2666527345E-05    3.7375001719E-24
  471.000000    1.7418333520E-04    7.0253009788E-24
  472.000000    3.4564755107E-03    1.3940932271E-22
  473.000000    3.3069454160E-03    1.3337835586E-22
  474.000000    1.7499738915E-04    7.0581340509E-24
  475.000000    5.5392438213E-05    2.2341319274E-24
  476.000000    5.4486600045E-05    2.1975969411E-24
  477.000000    1.7325835430E-05    6.9879939127E-25
  478.000000    9.0483549607E-07    3.6494545754E-26
  479.000000    4.7163103329E-06    1.9022198398E-25
  480.000000    1.5016491145E-05    6.0565707860E-25
  481.000000    1.0311862439E-03    4.1590624732E-23
  482.000000    4.1077782221E-05    1.6567818231E-24
  483.000000    1.2104174021E-04    4.8819518524E-24
  484.000000    1.8564642853E-02    7.4876395870E-22
  485.000000    1.2396444272E-04    4.9998326174E-24
  486.000000    5.9331387974E-04    2.3930007858E-23
  487.000000    3.1929128464E-05    1.2877910346E-24
  488.000000    1.1467628123E-05    4.6252150921E-25
  489.000000    1.0105057249E-05    4.0756521570E-25
  490.000000    2.2378876741E-05    9.0260267718E-25
  491.000000    7.1696541623E-05    2.8917220092E-24
  492.000000    4.4608156467E-03    1.7991716884E-22
  493.000000    7.9834757261E-05    3.2199590028E-24
  494.000000    1.8549916098E-04    7.4816998748E-24
  495.000000    1.0860190411E-05    4.3802184771E-25
  496.000000    4.6600867120E-06    1.8795432813E-25
  497.000000    1.2144803165E-07    4.8983387224E-27
  498.000000    1.3142101060E-06    5.3005768511E-26
  499.000000    3.0770915120E-06    1.2410770517E-25
  500.000000    4.0382949428E-05    1.6287572736E-24
  501.000000    1.1988139959E-04    4.8351520708E-24
  502.000000    2.0276115915E-03    8.1779245310E-23
  503.000000    2.8768295148E-04    1.1603057883E-23
  504.000000    1.2273791033E-04    4.9503631367E-24
  505.000000    6.7675911070E-05    2.7295587361E-24
  506.000000    1.1465522125E-04    4.6243656842E-24
  507.000000    9.2144470959E-03    3.7164441780E-22
  508.000000    1.5656896051E-04    6.3148639922E-24
  509.000000    2.9109830833E-05    1.1740808775E-24
  510.000000    6.0793557562E-05    2.4519741739E-24
  511.000000    6.8725021237E-05    2.7718722828E-24
  512.000000    1.0851290800E-04    4.3766290150E-24
  513.000000    5.3939933002E-06    2.1755483306E-25
  514.000000    3.5409365612E-05    1.4281587306E-24
  515.000000    4.2366588206E-04    1.7087629723E-23
  516.000000    1.6622171940E-04    6.7041867503E-24
  517.000000    2.0978268330E-03    8.4611222344E-23
  518.000000    7.2198924781E-04    2.9119845268E-23
  519.000000    2.4829987724E-04    1.0014628372E-23
